scenario_id,scenario,strategy,strategy_label,run,avg_snr_db,min_snr_db,jam_snr_db,clean_snr_db,avg_sinr_db,avg_ber,avg_per,avg_throughput_kbps,avg_throughput_mbps,avg_spectral_efficiency_bps_hz,avg_jsr_db,hop_success,hop_success_rate_pct,response_latency_s,response_latency_ms,recovery_time_s,anti_jam_gain_db,thr_improvement_ratio,decision_count,action_change_count,final_comm_channel_idx,final_modulation,final_action_profile,final_coding_rate,final_spreading_factor,final_interleaving_depth,final_power_gain_db,final_sync_threshold_db,final_bandwidth_scale,final_route_diversity,overlap_ratio,post_jam_overlap_ratio,task_completed,task_progress,completion_time_s,available_channel_ratio,emergency_score
base_station_outage,基站退服,无干扰基线,Clean Baseline,14,25.2034,23.692,0.0,25.2034,25.2034,2.08e-06,0.008483499159326557,719.7452,0.7197,0.3599,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.32,0.9088,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,15,25.1956,23.377,0.0,25.1956,25.1956,2.08e-06,0.008483499159326557,720.5454,0.7205,0.3603,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.2,0.9154,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,16,25.1714,23.684,0.0,25.1714,25.1714,2.08e-06,0.008483499159326557,720.4023,0.7204,0.3602,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.2,0.9185,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,17,25.1951,23.873,0.0,25.1951,25.1951,2.08e-06,0.008483499159326557,715.5952,0.7156,0.3578,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.32,0.915,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,18,25.1715,23.463,0.0,25.1715,25.1715,2.08e-06,0.008483499159326557,720.1342,0.7201,0.3601,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.32,0.9169,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,19,25.2367,23.436,0.0,25.2367,25.2367,2.08e-06,0.008483499159326557,717.8794,0.7179,0.3589,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.2,0.9223,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,20,25.1984,22.907,0.0,25.1984,25.1984,2.08e-06,0.008483499159326557,718.5926,0.7186,0.3593,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.32,0.9192,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,21,25.2298,23.557,0.0,25.2298,25.2298,2.08e-06,0.008483499159326557,714.3302,0.7143,0.3572,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.32,0.9119,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,22,25.1791,23.492,0.0,25.1791,25.1791,2.08e-06,0.008483499159326557,727.3644,0.7274,0.3637,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.2,0.9204,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,23,25.2776,23.619,0.0,25.2776,25.2776,2.08e-06,0.008483499159326557,715.5612,0.7156,0.3578,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.32,0.9092,99.8134
